,Model,Time taken,Optimal Parameters,Accuracy,Precision,Recall,F1,ROC-AUC
0,tabnet,56.927810192108154,"{'gamma': 1.0, 'lambda_sparse': 0, 'momentum': 0.4, 'n_steps': 8, 'optimizer_params': {'lr': 0.025}, 'verbose': 0}",0.9365591397849462,0.9405204460966543,0.8902181562280085,0.9146782357194504,0.927710209040494
1,svm,3.2807374000549316,"{'C': 1000, 'gamma': 1}",0.942741935483871,0.9339080459770115,0.9148486980999296,0.9242801279772483,0.937415649615428
2,xgboost,2.7866246700286865,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 1000}",0.9518817204301075,0.9546120058565154,0.9176636171710063,0.9357732328668819,0.9453476850535327
3,lightGBM,0.058012962341308594,"{'bagging_fraction': 0.95, 'bagging_freq': 1, 'feature_fraction': 0.95, 'learning_rate': 0.2, 'max_bin': 300, 'max_depth': 6, 'min_gain_to_split': 0, 'num_leaves': 20}",0.9532258064516129,0.9561082662765179,0.9197748064743139,0.9375896700143472,0.9468382514320243
4,stacking,185.71954202651978,,0.9532258064516129,0.9521392313270486,0.9239971850809289,0.9378571428571428,0.9476445255548184
