Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Unique Received From Addresses,min value received,max value received ,avg val received,min val sent,avg val sent,total transactions (including tnx to create contract,total ether received,total ether balance
0x87d884aaa6ff9e9b6014631b0abae80b53953fb8,1,5151.68,15159.08,71235.62,1,0.01,0.02,0.013366667,0.0,0.0,8,0.0401,0.0401
0xd42393df90d582bd8a5493171f0173e3a017d391,1,1179.02,1124.89,25126.45,13,0.0,0.75,0.176666667,0.145,0.419269824,22,2.65,-0.28488877
0x3025c36d8a9620d3df89e9e9b1acbdfd639a6f37,1,361.73,0.0,723.47,1,4.999916,4.999916,4.999916,2.49,2.499538,3,4.999916,0.00084
0x6309f709faad518fc158af4c14edfa7b06424770,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x3d020954e30c3d40b7f0c533cf198bc10dd45a49,1,14280.6,1479.86,45357.57,21,0.035,0.2,0.099285714,2.084657787,2.084657787,22,2.085,0.000342213
0xb300f2a0fa449b97a1069ea7ad654aca486f64b5,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x83915e4ff807ba28b53931f923247c9fa0147eb9,1,212.63,59.16,3746.0,12,7.71575e-06,0.31752206,0.03725157,0.0,0.937928571,27,0.484270408,-12.64672959
0x0f38DAeCb3FB7b87A8d3ED168822c1bC53e8202C,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xcc320aa1fe572798a1f900cfa0df6524b04c9624,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xe7860fd151cbbad28141dfd4cc7cd6d090e4ead8,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x645a58a563ab8c94207e8faea54bcb97e02d23c9,1,49585.61,7595.08,1498308.25,18,0.000772811,0.07038536,0.017396892,0.0,0.024702084,48,0.365334741,-0.301621519
0x7cb3ce3248e7c0cd320f3440d437a92a54f541f0,1,406.63,13484.13,165469.23,12,0.002,0.504,0.207538272,0.0019349,0.276364821,21,2.49045926,0.003175871
0xdce6ee48dc59da247ad93430e18c87b653f4c3d6,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xe45f73dad6af24273b361f02c3749f13c2231080,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
