Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Unique Received From Addresses,min value received,max value received ,avg val received,min val sent,avg val sent,total transactions (including tnx to create contract,total ether received,total ether balance,adjusted_eth_value__absolute_sum_of_changes,adjusted_eth_value__mean_abs_change,adjusted_eth_value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,adjusted_eth_value__sum_values,adjusted_eth_value__abs_energy,adjusted_eth_value__ratio_value_number_to_time_series_length,adjusted_eth_value__quantile__q_0.1,adjusted_eth_value__count_below__t_0,adjusted_eth_value__count_above__t_0,adjusted_eth_value__median
0x87d884aaa6ff9e9b6014631b0abae80b53953fb8,1,5151.68,15159.08,71235.62,1,0.01,0.02,0.013366667,0.0,0.0,8,0.0401,0.0401,0.1299,0.00811875,0.3585760101713559,0.0321,0.00140001,0.4705882352941176,-0.0,0.6470588235294118,0.9411764705882352,0.0
0xd42393df90d582bd8a5493171f0173e3a017d391,1,1179.02,1124.89,25126.45,13,0.0,0.75,0.176666667,0.145,0.419269824,22,2.65,-0.28488877,7.66977754,0.3652275019047619,0.0202370540854782,-0.2848887700000001,3.335465711308085,0.4090909090909091,-0.267420588,0.3636363636363636,0.6818181818181818,0.15
0x3025c36d8a9620d3df89e9e9b1acbdfd639a6f37,1,361.73,0.0,723.47,1,4.999916,4.999916,4.999916,2.49,2.499538,3,4.999916,0.00084,7.508991999999999,3.754496,0.6667381012490451,0.0008399999999997,37.494722380832,1.0,-2.5052608,0.6666666666666666,0.3333333333333333,-2.49
0x6309f709faad518fc158af4c14edfa7b06424770,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x3d020954e30c3d40b7f0c533cf198bc10dd45a49,1,14280.6,1479.86,45357.57,21,0.035,0.2,0.099285714,2.084657787,2.084657787,22,2.085,0.000342213,3.404657786778048,0.1621265612751451,0.0066596688085961,0.0003422132219519,4.5948230879743495,0.4090909090909091,0.05,0.0454545454545454,0.9545454545454546,0.085
0xb300f2a0fa449b97a1069ea7ad654aca486f64b5,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x83915e4ff807ba28b53931f923247c9fa0147eb9,1,212.63,59.16,3746.0,12,7.71575e-06,0.31752206,0.03725157,0.0,0.937928571,27,0.484270408,-12.64672959,20.698217303548617,0.7960852809057161,1.1445400055103946e-05,-12.646729592387,103.1238839929104,0.6296296296296297,-1.0,0.5185185185185185,0.8148148148148148,0.0
0x0f38DAeCb3FB7b87A8d3ED168822c1bC53e8202C,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,301.47912605763537,8.867033119342217,0.3190552255632818,191.50677943625024,4734.369330684156,0.6285714285714286,0.2025594920000002,0.0571428571428571,1.0,0.82
0xcc320aa1fe572798a1f900cfa0df6524b04c9624,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0
0xe7860fd151cbbad28141dfd4cc7cd6d090e4ead8,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,29.4,3.675,0.0,33.85143239502306,305.4638274969633,0.7777777777777778,0.16,0.1111111111111111,1.0,1.1343242751793825
