Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,avg value sent to contract,total transactions (including tnx to create contract,total ether received,total ether balance
0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,1,2663.33,21974.49,621645.1,0,6,43,0.032,2.7481639,0.3865955966261642,0.0,1.7120096446351385,0.0855306079693631,,256,11.211272302158761,-8.204175706886666
0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,1,1187.3,0.0,33244.47,1,0,4,,,,0.0,11.548278470406435,0.4016647748416013,0.1,29,0.0,-11.648278470406437
0x2073d860b9b9e19f4d20eb0fe741fb5fe7fe6bb0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xbceaa0040764009fdcff407e82ad1f06465fd2c4,1,2.5,0.0,307749.63,0,1,1,25533.6143287584,25533.6143287584,25533.6143287584,100.0,25433.6139087584,12766.8069543792,,3,25533.6143287584,0.00042
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,1,8717.96,14350.64,341014.55,0,21,28,0.0026521479562261,2.3926056,0.4508439991543529,0.0,1.9085081585081585,0.2702721468076859,,64,10.82025597970447,0.0093701073970324
0x4639cd8cd52ec1cf2e496a606ce28d8afb1c792f,1,0.0,149.72,1042506.9,1,4294,0,0.0,9.09858144,0.001708223417598,,,,0.0,6964,11.896067880152925,11.896067880152925
0xeda5066780de29d00dfb54581a707ef6f52d8113,1,111.45,2645.02,82253.03,0,22,65,0.0,30.988948,14.537916242272363,0.0,100.0,0.6528276781190798,,771,465.2133197527156,-17.226334377284363
0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,1,46250.26,154661.13,1156261.12,0,3,6,1.12e-16,5595.0,1789.4,0.0,1500.0,351.5229907481698,,31,8947.0,-192.5977594524132
0x079667f4f7a0b440ad35ebd780efd216751f0758,1,143.24,3716.34,95541.82,42,6,73,0.0,0.001,0.00010069,0.0,100.0,20.991188624058307,0.0,678,0.0010069,-14022.11299397095
0xb73261481064f717a63e6f295d917c28385af9aa,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xcdc0f019f0ec0a903ca689e2bced3996efc53939,1,258.46,0.0,4912.95,0,2,11,0.1,2.0,1.05,0.0,100.0,10.9195,,22,2.1,-216.29
0x50f9202e0f1c1577822bd67193960b213cd2f331,1,507.03,0.0,21802.13,1,0,16,,,,0.0,45.0,8.247641021072303,0.0,44,0.0,-362.89620492718126
0x5a59fc20e2659f9df6a21ccd8627ea0d2403b36b,1,4032.5,0.0,24219.95,1,1,5,2.57057,2.57057,2.57057,0.0,228.494421126,32.934203018,0.045,8,2.57057,-227.968851126
0xa7f72bf63edeca25636f0b13ec5135296ca2ebb2,1,1465.16,40.91,64525.78,0,1523,36,0.0,1901.4148472206664,1.7955508316389373,0.0,508.0,60.84854509796954,,1570,2738.2150182493797,0.03048884075
0x64f0d720ce8b97ba44cd002005d2dfa3186c0580,1,0.0,1220.33,740743.12,1,310,0,0.0,5.0,0.0082236842105263,,,,0.0,608,5.0,5.0
0x9431eea5981c9f94e19d43f523b9589269215ab3,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x944a3f5641d6faf7a6abde4ec31e40d0929955ed,1,0.0,62.8,1436.08,0,17,1,0.00874,14.0,2.3013169871666666,41.423,41.423,41.423,,19,41.423705769,0.000705769
0x8f95d25bd5ec1973b8cbcd9572a7287f03420ca7,1,13218.17,58062.09,475854.03,0,5,15,0.005,550.0,82.07660875142857,0.0,144.0,25.816539282864078,,44,574.53626126,-380.6756922059708
0x29d7d1dd5b6f9c864d9db560d72a247c178ae86b,1,13020.66,11205.59,2610902.35,0,211,5,0.0,100.0,6.463411440750962,20.2,373.0,302.44,,239,1512.4382771357248,0.2382771357249603
0x0c9d1b3ca852c67bbeabeeb51e9482a845d56868,1,2143.38,354.13,2152.5,1,5,2,0.02,61.0,22.18337,0.0,110.914980034,55.457490017,0.0,7,110.91685,0.001869966
0x4073aa0f9885bbe59895a27158bbe865052678b8,1,6.59,730.02,1261437.13,0,2,6,0.6186727845324026,74.999559007,37.809115895766205,0.0,75.6080308415324,12.601338473588733,,8,75.6182317915324,0.01020095
0xd8ddfd63696127b18911546b13856cf98a246ff4,1,7479.42,1440.09,50425.22,0,35,7,0.001539,32.69489316,2.895906520628301,0.0,52.869624742618846,14.892406884659836,,43,104.25263474261884,0.00578655
0xfbf6f29c126382cf15795bb209ee506a174cc709,1,692.22,436.96,279311.72,0,41,5,0.164,100.0,16.67580731707317,0.0,683.65,136.7411018334,,46,683.7081,0.002590833
0x57b818a1070373e21fcedf48d4368e1703c75852,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x4182d887fb4fba8cd49e9f50908c13c761080ec5,1,18049.85,736.5,18074.87,0,2,1,4.98,30.0,17.49,14.978,20.0,17.489,,4,34.98,0.002
0xc6df8e498facad626a82b7af3c9f5f9301e79fd6,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x6eff949d9a4e7725d3ee3b894ceaa2813b7437e5,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x905475cbca398e8fee6e35bcb2f530a3474b78ce,1,1480.58,237.0,386506.48,0,24,5,0.082,50.0,5.959176360577327,0.0,154.93,30.987200307002105,,31,154.93858537501052,0.00258384
0xce52d38539e1e557f184f1073a59f69c9ba95f28,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xdb82af76f9ccddfe9e8f7996492f4c5bd5f9d53d,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x122c7f492c51c247e293b0f996fa63de61474959,1,305.59,1607.41,10515.27,0,6,25,0.175,10.42675563,3.925813774073395,0.01,11.0,0.8743096534977914,,33,23.55488264444037,-0.051478
0xe606ab862d5ab58783b0eedee0839a2b47927ce8,1,803.39,4670.18,114514.48,0,20,121,0.0025,21.0,5.219166666666667,0.0016015012,50.0,0.8234465315789474,,154,109.6025,0.0841113
0xc9f32ce1127e44c51cbd182d6364f3d707fd0d47,1,5.38,18.65,15802.73,0,6,2,0.99,113.8,24.91875,0.644,198.685,99.6645,,10,199.35,0.021
0x9327cb34984c3992ec1ea0eae98ccf80a74f95b9,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
